CourseID	StudentID	CourseName	GPA	Semester Offer	CreditHours	Repeat Status	CourseTaken	Type
CL1000	21k-1234	Introduction to Information and Communication Technology	2.67	1	1	0	Fall	Core
CL1002	21k-1234	Programming Fundamentals - Lab	2	1	1	0	Fall	Core
CS1002	21k-1234	Programming Fundamentals	3.33	1	3	0	Fall	Core
MT1003	21k-1234	Calculus and Analytical Geometry	3	1	3	0	Fall	Core
MT1004	21k-1234	Linear Algebra	3.67	1	3	0	Fall	Core
SL1004	21k-1234	English Composition and Comprehension - Lab	3.33	1	1	0	Fall	Core
SS1003	21k-1234	Pakistan Studies	2.33	1	3	0	Fall	Core
SS1004	21k-1234	English Composition and Comprehension	3.67	1	2	0	Fall	Core
CL1004	21k-1234	Object Oriented Programming - Lab	2	2	1	0	Spring	Core
CS1004	21k-1234	Object Oriented Programming	2.67	2	3	0	Spring	Core
EE1005	21k-1234	Digital Logic Design	2.67	2	3	0	Spring	Core
EL1005	21k-1234	Digital Logic Design - Lab	3.33	2	1	0	Spring	Core
SL1008	21k-1234	Communication and Presentation Skills - Lab	3.67	2	1	0	Spring	Core
SS1002	21k-1234	Islamic Studies/Ethics	2.33	2	3	0	Spring	Core
SS1008	21k-1234	Communication and Presentation Skills	3.33	2	2	0	Spring	Core
MT1006	21k-1234	Differential Equations	3.33	2	3	0	Spring	Core
AI2001	21k-1234	Programming for AI	2.67	3	3	0	Fall	Core
AL2001	21k-1234	Programming for AI - Lab	3.33	3	1	0	Fall	Core
CL2001	21k-1234	Data Structures - Lab	2.67	3	1	0	Fall	Core
CS1005	21k-1234	Discrete Structures	4	3	3	0	Fall	Core
CS2001	21k-1234	Data Structures	1.33	3	3	0	Fall	Core
MT2005	21k-1234	Probability and Statistics	3	3	3	0	Fall	Core
SS2003	21k-1234	Psychology	3.67	3	3	0	Fall	Elective
AI2002	21k-1234	Artificial Intelligence	3	4	3	0	Spring	Core
AL2002	21k-1234	Artificial Intelligence - Lab	2	4	1	0	Spring	Core
CL2006	21k-1234	Operating Systems - Lab	2	4	1	0	Spring	Core
CS2004	21k-1234	Fundamentals of Software Engineering	2.67	4	3	0	Spring	Core
CS2006	21k-1234	Operating Systems	2.67	4	3	0	Spring	Core
EE2003	21k-1234	Computer Organization and Assembly Language	3.33	4	3	0	Spring	Core
EL2003	21k-1234	Computer Organization and Assembly Language - Lab	4	4	1	0	Spring	Core
