CourseID,StudentID,CourseName,GPA,Semester,CreditHour,Repeat Status,CourseTaken,Type
CL1000,21k-3456,Introduction to Information and Communication Technology,3.8,1,1,0,Fall,Core
CL1002,21k-3456,Programming Fundamentals - Lab,2.5,1,1,0,Fall,Core
CS1002,21k-3456,Programming Fundamentals,1.2,1,3,0,Fall,Core
MT1003,21k-3456,Calculus and Analytical Geometry,0.9,1,3,0,Fall,Core
MT1004,21k-3456,Linear Algebra,1.6,1,3,0,Fall,Core
SL1004,21k-3456,English Composition and Comprehension - Lab,3.9,1,1,0,Fall,Core
SS1004,21k-3456,Pakistan Studies,4.0,1,2,0,Fall,Core
SS1003,21k-3456,English Composition and Comprehension,3.7,1,3,0,Fall,Core
CL1004,21k-3456,Object Oriented Programming - Lab,2.0,2,1,0,Spring,Core
CS1004,21k-3456,Object Oriented Programming,2.5,2,3,0,Spring,Core
EE1005,21k-3456,Digital Logic Design,1.0,2,3,0,Spring,Core
EL1005,21k-3456,Digital Logic Design - Lab,2.8,2,1,0,Spring,Core
MT1003,21k-3456,Calculus and Analytical Geometry,2.5,2,3,1,Spring,Core
SL1008,21k-3456,Communication and Presentation Skills - Lab,4.0,2,1,0,Spring,Core
SS1002,21k-3456,Islamic Studies/Ethics,3.4,2,2,0,Spring,Core
SS1008,21k-3456,Communication and Presentation Skills,3.8,2,3,0,Spring,Core
EE1005,21k-3456,Digital Logic Design,2.0,S1,3,1,Summer,Core
EL1005,21k-3456,Digital Logic Design - Lab,3.2,S1,1,1,Summer,Core
AI2001,21k-3456,Programming for AI,2.9,3,3,0,Fall,Core
AL2001,21k-3456,Programming for AI - Lab,1.8,3,1,0,Fall,Core
CL2001,21k-3456,Data Structures - Lab,2.4,3,1,0,Fall,Core
CS1005,21k-3456,Discrete Structures,1.4,3,3,0,Fall,Core
CS2001,21k-3456,Data Structures,0.6,3,3,0,Fall,Core
MT2005,21k-3456,Probability and Statistics,1.2,3,3,0,Fall,Core
SS2003,21k-3456,Psychology,3.6,3,3,0,Fall,Elective
AI2002,21k-3456,Artificial Intelligence,2.4,4,3,0,Spring,Core
AL2002,21k-3456,Artificial Intelligence - Lab,3.0,4,1,0,Spring,Core
CL2001,21k-3456,Data Structures - Lab,1.6,4,1,1,Spring,Core
CS2001,21k-3456,Data Structures,2.0,4,3,1,Spring,Core
CS2004,21k-3456,Fundamentals of Software Engineering,1.8,4,3,0,Spring,Core
EE2003,21k-3456,Computer Organization and Assembly Language,1.3,4,3,0,Spring,Core
EL2003,21k-3456,Computer Organization and Assembly Language - Lab,2.5,4,1,0,Spring,Core
MT1006,21k-3456,Differential Equations,0.8,4,3,0,Spring,Core
EE2003,21k-3456,Computer Organization and Assembly Language,1.5,S2,3,1,Summer,Core
EL2003,21k-3456,Computer Organization and Assembly Language - Lab,2.2,S2,1,1,Summer,Core
MT1006,21k-3456,Differential Equations,1.4,S2,3,1,Summer,Core
CS1005,21k-3456,Discrete Structures,0.9,5,3,1,Fall,Core
EE2003,21k-3456,Computer Organization and Assembly Language,3.6,5,3,2,Fall,Core
EL2003,21k-3456,Computer Organization and Assembly Language - Lab,0.6,5,1,2,Fall,Core
MT2005,21k-3456,Probability and Statistics,1.7,5,3,1,Fall,Core
