CourseID,StudentID,CourseName,GPA,Semester Offer,CreditHours,Repeat Status,CourseTaken,Type
CL1000,21k-4321,Introduction to Information and Communication Technology,3.00,1,1,0,Fall,Core
CL1002,21k-4321,Programming Fundamentals - Lab,3.33,1,1,0,Fall,Core
CS1002,21k-4321,Programming Fundamentals,3.67,1,3,0,Fall,Core
MT1003,21k-4321,Calculus and Analytical Geometry,2.67,1,3,0,Fall,Core
MT1004,21k-4321,Linear Algebra,3.00,1,3,0,Fall,Core
SL1004,21k-4321,English Composition and Comprehension - Lab,3.33,1,1,0,Fall,Core
SS1003,21k-4321,Pakistan Studies,2.67,1,3,0,Fall,Core
SS1004,21k-4321,English Composition and Comprehension,3.33,1,2,0,Fall,Core
CL1004,21k-4321,Object Oriented Programming - Lab,2.67,2,1,0,Spring,Core
CS1004,21k-4321,Object Oriented Programming,3.00,2,3,0,Spring,Core
EE1005,21k-4321,Digital Logic Design,3.33,2,3,0,Spring,Core
EL1005,21k-4321,Digital Logic Design - Lab,3.67,2,1,0,Spring,Core
SL1008,21k-4321,Communication and Presentation Skills - Lab,3.00,2,1,0,Spring,Core
SS1002,21k-4321,Islamic Studies/Ethics,2.67,2,3,0,Spring,Core
SS1008,21k-4321,Communication and Presentation Skills,3.33,2,2,0,Spring,Core
MT1006,21k-4321,Differential Equations,3.33,2,3,0,Spring,Core
AI2001,21k-4321,Programming for AI,3.33,3,3,0,Fall,Core
AL2001,21k-4321,Programming for AI - Lab,3.00,3,1,0,Fall,Core
CL2001,21k-4321,Data Structures - Lab,3.33,3,1,0,Fall,Core
CS1005,21k-4321,Discrete Structures,3.67,3,3,0,Fall,Core
CS2001,21k-4321,Data Structures,2.00,3,3,0,Fall,Core
MT2005,21k-4321,Probability and Statistics,2.67,3,3,0,Fall,Core
SS2003,21k-4321,Psychology,3.00,3,3,0,Fall,Elective
AI2002,21k-4321,Artificial Intelligence,3.33,4,3,0,Spring,Core
AL2002,21k-4321,Artificial Intelligence - Lab,3.67,4,1,0,Spring,Core
CL2006,21k-4321,Operating Systems - Lab,3.00,4,1,0,Spring,Core
CS2004,21k-4321,Fundamentals of Software Engineering,3.33,4,3,0,Spring,Core
CS2006,21k-4321,Operating Systems,3.00,4,3,0,Spring,Core
EE2003,21k-4321,Computer Organization and Assembly Language,2.67,4,3,0,Spring,Core
EL2003,21k-4321,Computer Organization and Assembly Language - Lab,3.33,4,1,0,Spring,Core
