CourseID,StudentID,CourseName,GPA,Semester Offer,CreditHour,Repeat Status,CourseTaken,Type
CL1000,21k-8765,Introduction to Information and Communication Technology,2.50,1,1,0,Fall,Core
CL1002,21k-8765,Programming Fundamentals - Lab,2.75,1,1,0,Fall,Core
CS1002,21k-8765,Programming Fundamentals,3.00,1,3,0,Fall,Core
MT1003,21k-8765,Calculus and Analytical Geometry,3.25,1,3,0,Fall,Core
MT1004,21k-8765,Linear Algebra,2.75,1,3,0,Fall,Core
SL1004,21k-8765,English Composition and Comprehension - Lab,3.00,1,1,0,Fall,Core
SS1003,21k-8765,Pakistan Studies,2.25,1,3,0,Fall,Core
SS1004,21k-8765,English Composition and Comprehension,3.50,1,2,0,Fall,Core
CL1004,21k-8765,Object Oriented Programming - Lab,2.75,2,1,0,Spring,Core
CS1004,21k-8765,Object Oriented Programming,3.25,2,3,0,Spring,Core
EE1005,21k-8765,Digital Logic Design,3.00,2,3,0,Spring,Core
EL1005,21k-8765,Digital Logic Design - Lab,3.50,2,1,0,Spring,Core
SL1008,21k-8765,Communication and Presentation Skills - Lab,2.75,2,1,0,Spring,Core
SS1002,21k-8765,Islamic Studies/Ethics,2.25,2,3,0,Spring,Core
SS1008,21k-8765,Communication and Presentation Skills,3.00,2,2,0,Spring,Core
MT1006,21k-8765,Differential Equations,3.00,2,3,0,Spring,Core
AI2001,21k-8765,Programming for AI,3.25,3,3,0,Fall,Core
AL2001,21k-8765,Programming for AI - Lab,3.50,3,1,0,Fall,Core
CL2001,21k-8765,Data Structures - Lab,2.75,3,1,0,Fall,Core
CS1005,21k-8765,Discrete Structures,3.75,3,3,0,Fall,Core
CS2001,21k-8765,Data Structures,2.50,3,3,0,Fall,Core
MT2005,21k-8765,Probability and Statistics,3.25,3,3,0,Fall,Core
SS2003,21k-8765,Psychology,3.00,3,3,0,Fall,Elective
AI2002,21k-8765,Artificial Intelligence,3.25,4,3,0,Spring,Core
AL2002,21k-8765,Artificial Intelligence - Lab,3.50,4,1,0,Spring,Core
CL2006,21k-8765,Operating Systems - Lab,3.00,4,1,0,Spring,Core
CS2004,21k-8765,Fundamentals of Software Engineering,3.25,4,3,0,Spring,Core
CS2006,21k-8765,Operating Systems,3.00,4,3,0,Spring,Core
EE2003,21k-8765,Computer Organization and Assembly Language,2.75,4,3,0,Spring,Core
EL2003,21k-8765,Computer Organization and Assembly Language - Lab,3.25,4,1,0,Spring,Core
